symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
USDC,2023-10-12 23:59:59,2023-10-12 00:00:00,2023-10-12 23:59:59,2023-10-12 08:50:00,2023-10-12 14:45:00,0.9999741055,1.000797733,0.9998429513,1.000108406,2354134009.7,25137888630.36,25135163828.33
USDC,2023-10-13 23:59:59,2023-10-13 00:00:00,2023-10-13 23:59:59,2023-10-13 23:10:00,2023-10-13 10:52:00,1.0000539679,1.0007378126,0.9998807841,1.0002389221,2256260023.13,25124069142.65,25118067880.44
USDC,2023-10-14 23:59:59,2023-10-14 00:00:00,2023-10-14 23:59:59,2023-10-14 08:41:00,2023-10-14 21:21:00,1.0001672427,1.0005313027,0.9999535499,1.0001128738,1036838776.03,25127890402.06,25125054440.69
USDC,2023-10-15 23:59:59,2023-10-15 00:00:00,2023-10-15 23:59:59,2023-10-15 13:25:00,2023-10-15 13:29:00,1.0000480327,1.000672788,0.9999035,1.0003141107,1366917285.64,25164671458.23,25156769446.86
USDC,2023-10-16 23:59:59,2023-10-16 00:00:00,2023-10-16 23:59:59,2023-10-16 13:49:00,2023-10-16 13:42:00,1.0002327502,1.0008224736,0.9998180921,1.0002074264,4703592442.62,25258002203.96,25252764114.57
USDC,2023-10-17 23:59:59,2023-10-17 00:00:00,2023-10-17 23:59:59,2023-10-17 00:18:00,2023-10-17 19:07:00,1.0002214787,1.000328176,0.9998144509,1.000023694,2840553485.71,25325776999.31,25325176945.78
USDC,2023-10-18 23:59:59,2023-10-18 00:00:00,2023-10-18 23:59:59,2023-10-18 10:10:00,2023-10-18 13:54:00,1.0000539791,1.0004701549,0.999886674,1.0000387999,2648160709.34,25363648602.07,25362664533.52
USDC,2023-10-19 23:59:59,2023-10-19 00:00:00,2023-10-19 23:59:59,2023-10-19 18:41:00,2023-10-19 16:51:00,1.000208202,1.0005483356,0.9998578965,0.9999883974,2652500406.4,25452531296.87,25452826616.73
USDC,2023-10-20 23:59:59,2023-10-20 00:00:00,2023-10-20 23:59:59,2023-10-20 08:41:00,2023-10-20 16:20:00,1.0000118817,1.000544092,0.9996430123,1.0000641042,3464401132.26,25535150181.0,25533513376.01
USDC,2023-10-21 23:59:59,2023-10-21 00:00:00,2023-10-21 23:59:59,2023-10-21 20:51:00,2023-10-21 13:52:00,1.0000146202,1.0002119447,0.9998131948,0.9999493196,2029693356.62,25558611692.14,25559907079.6
USDC,2023-10-22 23:59:59,2023-10-22 00:00:00,2023-10-22 23:59:59,2023-10-22 23:02:00,2023-10-22 11:18:00,0.9999261482,1.00050859,0.9997216977,0.9999184027,2139970395.43,25556187646.47,25558273131.34
USDC,2023-10-23 23:59:59,2023-10-23 00:00:00,2023-10-23 23:59:59,2023-10-23 15:37:00,2023-10-23 22:47:00,1.0003010135,1.000587334,0.9993255024,1.0000888975,6974709631.48,25459350561.09,25457087490.05
USDC,2023-10-24 23:59:59,2023-10-24 00:00:00,2023-10-24 23:59:59,2023-10-24 22:51:00,2023-10-24 02:39:00,0.9999769158,1.0004820157,0.9995181764,0.9999943905,8074666907.38,25086474562.08,25086615286.4
USDC,2023-10-25 23:59:59,2023-10-25 00:00:00,2023-10-25 23:59:59,2023-10-25 01:56:00,2023-10-25 08:49:00,0.9999962977,1.0007851488,0.9998131552,1.0001963651,5304032294.28,25166371879.6,25161431052.8
USDC,2023-10-26 23:59:59,2023-10-26 00:00:00,2023-10-26 23:59:59,2023-10-26 14:13:00,2023-10-26 23:57:00,1.0001538724,1.0005222341,0.9998162947,1.0000190285,4962675018.48,25078437082.02,25077959887.22
USDC,2023-10-27 23:59:59,2023-10-27 00:00:00,2023-10-27 23:59:59,2023-10-27 17:08:00,2023-10-27 17:59:00,1.0000055703,1.0007902726,0.9998145282,0.9999997945,4082394598.5,24974208191.24,24974213323.05
USDC,2023-10-28 23:59:59,2023-10-28 00:00:00,2023-10-28 23:59:59,2023-10-28 08:07:00,2023-10-28 11:21:00,1.0000315751,1.000599954,0.9995868595,1.0000560552,2468016438.07,24995000334.49,24993599313.29
USDC,2023-10-29 23:59:59,2023-10-29 00:00:00,2023-10-29 23:59:59,2023-10-29 20:32:00,2023-10-29 06:42:00,1.0000384333,1.0004761162,0.9998417276,1.0000220507,2543105670.5,25040629793.66,25040077641.6
USDC,2023-10-30 23:59:59,2023-10-30 00:00:00,2023-10-30 23:59:59,2023-10-30 10:22:00,2023-10-30 11:18:00,0.9999512417,1.0004683842,0.9997077423,1.0001678273,3923554176.02,24935040009.36,24930855930.0
USDC,2023-10-31 23:59:59,2023-10-31 00:00:00,2023-10-31 23:59:59,2023-10-31 01:17:00,2023-10-31 18:41:00,1.0001983177,1.0004522564,0.9997629476,0.999940183,3514523823.24,24760482111.04,24761963297.48
USDC,2023-11-01 23:59:59,2023-11-01 00:00:00,2023-11-01 23:59:59,2023-11-01 20:54:00,2023-11-01 13:22:00,1.0001005451,1.0004475511,0.9996435197,1.0002331054,4780026292.53,24765794290.2,24760022595.09
USDC,2023-11-02 23:59:59,2023-11-02 00:00:00,2023-11-02 23:59:59,2023-11-02 03:07:00,2023-11-02 04:28:00,1.0001779982,1.0006335659,0.9997683753,1.0001196671,4727405730.9,24477155572.47,24474226813.26
USDC,2023-11-03 23:59:59,2023-11-03 00:00:00,2023-11-03 23:59:59,2023-11-03 14:50:00,2023-11-03 10:17:00,1.000158292,1.0006455217,0.9997877833,1.0002486049,3917354437.31,24513195648.79,24507103063.17
USDC,2023-11-04 23:59:59,2023-11-04 00:00:00,2023-11-04 23:59:59,2023-11-04 23:40:00,2023-11-04 23:23:00,1.0001714432,1.0006907074,0.9999447842,1.000175249,2236249363.66,24544715284.16,24540414601.29
USDC,2023-11-05 23:59:59,2023-11-05 00:00:00,2023-11-05 23:59:59,2023-11-05 12:19:00,2023-11-05 17:50:00,1.0002608825,1.0007587347,0.9996591618,0.9999968458,3320758544.85,24592859150.19,24592936720.76
USDC,2023-11-06 23:59:59,2023-11-06 00:00:00,2023-11-06 23:59:59,2023-11-06 12:18:00,2023-11-06 09:29:00,1.0000906795,1.0004428719,0.9998064027,0.9999843221,3704537072.23,24461850558.09,24462234073.57
USDC,2023-11-07 23:59:59,2023-11-07 00:00:00,2023-11-07 23:59:59,2023-11-07 21:00:00,2023-11-07 13:35:00,0.9999415022,1.0008075074,0.9997972862,1.0000282302,4331266461.84,24399575228.76,24398886443.66
USDC,2023-11-08 23:59:59,2023-11-08 00:00:00,2023-11-08 23:59:59,2023-11-08 01:41:00,2023-11-08 15:13:00,1.0000218389,1.0004125544,0.9998518895,1.0000337799,3483561051.26,24251731645.38,24250912451.49
USDC,2023-11-09 23:59:59,2023-11-09 00:00:00,2023-11-09 23:59:59,2023-11-09 22:11:00,2023-11-09 16:38:00,1.0000512512,1.0003630738,0.9992382354,0.9999559931,7796943401.67,24180753745.62,24181817911.32
USDC,2023-11-10 23:59:59,2023-11-10 00:00:00,2023-11-10 23:59:59,2023-11-10 15:20:00,2023-11-10 23:50:00,0.9999082726,1.0003895076,0.9995319209,0.9995419959,5800619879.83,24097694721.55,24108736622.52
USDC,2023-11-11 23:59:59,2023-11-11 00:00:00,2023-11-11 23:59:59,2023-11-11 14:49:00,2023-11-11 17:23:00,0.9998331952,1.0001353177,0.9994628373,0.9997095498,4054656386.83,24208523199.23,24215556612.94
USDC,2023-11-12 23:59:59,2023-11-12 00:00:00,2023-11-12 23:59:59,2023-11-12 22:29:00,2023-11-12 23:47:00,0.9996890138,1.0003270327,0.9992034057,0.9996009852,3363812287.93,24219576889.06,24229244715.83
USDC,2023-11-13 23:59:59,2023-11-13 00:00:00,2023-11-13 23:59:59,2023-11-13 14:47:00,2023-11-13 00:38:00,0.999773467,1.0008109101,0.9993403175,0.9999634773,5884242660.53,24021625854.54,24022503220.12
USDC,2023-11-14 23:59:59,2023-11-14 00:00:00,2023-11-14 23:59:59,2023-11-14 09:46:00,2023-11-14 18:00:00,1.000259451,1.0005083613,0.9996076882,1.0000252054,5897076012.24,23890761467.67,23890159307.72
USDC,2023-11-15 23:59:59,2023-11-15 00:00:00,2023-11-15 23:59:59,2023-11-15 14:42:00,2023-11-15 22:34:00,1.0000742444,1.0004277301,0.9998027292,1.0000298622,6459430865.33,24129649324.23,24128928782.51
USDC,2023-11-16 23:59:59,2023-11-16 00:00:00,2023-11-16 23:59:59,2023-11-16 00:33:00,2023-11-16 19:23:00,1.000089019,1.0003716832,0.9996484941,0.9999516825,6587299688.5,24172285125.75,24173453126.77
USDC,2023-11-17 23:59:59,2023-11-17 00:00:00,2023-11-17 23:59:59,2023-11-17 04:07:00,2023-11-17 05:23:00,1.0000173729,1.0004526564,0.9997118684,1.0001905577,5656392613.75,24321670474.98,24317036676.32
USDC,2023-11-18 23:59:59,2023-11-18 00:00:00,2023-11-18 23:59:59,2023-11-18 03:36:00,2023-11-18 07:54:00,1.0001206515,1.000290286,0.9998013866,1.0000733363,3527085444.94,24415606980.4,24413816560.57
USDC,2023-11-19 23:59:59,2023-11-19 00:00:00,2023-11-19 23:59:59,2023-11-19 18:45:00,2023-11-19 23:05:00,1.0000742961,1.0002644589,0.9997951048,0.9999763938,3377536218.85,24436265586.74,24436842447.19
USDC,2023-11-20 23:59:59,2023-11-20 00:00:00,2023-11-20 23:59:59,2023-11-20 10:17:00,2023-11-20 17:19:00,1.0000269137,1.00024708,0.9995487764,0.9999688748,5715544229.64,24519487010.21,24520250207.19
USDC,2023-11-21 23:59:59,2023-11-21 00:00:00,2023-11-21 23:59:59,2023-11-21 20:52:00,2023-11-21 00:59:00,0.9998206499,1.0003294572,0.9995646733,1.0000458974,6746318098.87,24437851526.11,24436729943.19
USDC,2023-11-22 23:59:59,2023-11-22 00:00:00,2023-11-22 23:59:59,2023-11-22 18:29:00,2023-11-22 15:25:00,1.0000113692,1.0005745854,0.9995688055,0.9999823948,5843849576.19,24409339765.73,24409769503.83
USDC,2023-11-23 23:59:59,2023-11-23 00:00:00,2023-11-23 23:59:59,2023-11-23 13:56:00,2023-11-23 03:28:00,1.0000044348,1.0002031526,0.9997547139,0.9999564259,3906905702.43,24443961839.76,24445027010.4
USDC,2023-11-24 23:59:59,2023-11-24 00:00:00,2023-11-24 23:59:59,2023-11-24 16:12:00,2023-11-24 23:07:00,1.0000204237,1.0004508429,0.9994333341,0.9996318792,5071942600.26,24694185390.71,24703279181.42
USDC,2023-11-25 23:59:59,2023-11-25 00:00:00,2023-11-25 23:59:59,2023-11-25 06:00:00,2023-11-25 15:38:00,0.999555056,1.0001500526,0.9993966607,0.9998872351,2220573375.06,24703466903.13,24706252900.54
USDC,2023-11-26 23:59:59,2023-11-26 00:00:00,2023-11-26 23:59:59,2023-11-26 16:32:00,2023-11-26 17:13:00,0.9998757358,1.0000034544,0.9992257656,0.9998677649,2981851641.13,24649203533.67,24652463454.97
USDC,2023-11-27 23:59:59,2023-11-27 00:00:00,2023-11-27 23:59:59,2023-11-27 14:42:00,2023-11-27 00:23:00,0.9998597189,1.0005123444,0.99946683,0.9999987649,4857602258.08,24410995450.82,24411025600.27
USDC,2023-11-28 23:59:59,2023-11-28 00:00:00,2023-11-28 23:59:59,2023-11-28 12:23:00,2023-11-28 20:36:00,1.0001127184,1.0005330466,0.9994288756,0.9999137183,4946072075.59,24532362026.68,24534478902.04
USDC,2023-11-29 23:59:59,2023-11-29 00:00:00,2023-11-29 23:59:59,2023-11-29 21:31:00,2023-11-29 14:25:00,0.9998534009,1.0002276457,0.9993231165,1.0000403476,4806411317.44,24487309306.67,24486321343.35
USDC,2023-11-30 23:59:59,2023-11-30 00:00:00,2023-11-30 23:59:59,2023-11-30 21:06:00,2023-11-30 14:12:00,1.0000218916,1.0002876329,0.9997914761,1.0000064423,3955267282.43,24487097179.34,24486939427.23
USDC,2023-12-01 23:59:59,2023-12-01 00:00:00,2023-12-01 23:59:59,2023-12-01 03:16:00,2023-12-01 10:01:00,1.0000927891,1.0002070743,0.9994963653,0.9997967758,5045550333.92,24571497095.94,24576491634.07
USDC,2023-12-02 23:59:59,2023-12-02 00:00:00,2023-12-02 23:59:59,2023-12-02 14:29:00,2023-12-02 18:28:00,0.9997513737,1.0001146641,0.9993197676,0.9999531652,3627380584.26,24556203927.11,24557354066.7
USDC,2023-12-03 23:59:59,2023-12-03 00:00:00,2023-12-03 23:59:59,2023-12-03 20:43:00,2023-12-03 13:08:00,0.9999657249,1.000168627,0.9988953912,0.9998963138,3432480205.96,24517129708.47,24519672059.77
USDC,2023-12-04 23:59:59,2023-12-04 00:00:00,2023-12-04 23:59:59,2023-12-04 11:21:00,2023-12-04 16:29:00,0.9999015404,1.000474308,0.9990457445,0.9999207837,7360707791.7,24371762518.32,24373693312.13
USDC,2023-12-05 23:59:59,2023-12-05 00:00:00,2023-12-05 23:59:59,2023-12-05 21:06:00,2023-12-05 11:04:00,0.9999725069,1.0004435629,0.9993580859,1.0002840923,6856709756.51,24279415354.57,24272519719.4
USDC,2023-12-06 23:59:59,2023-12-06 00:00:00,2023-12-06 23:59:59,2023-12-06 01:50:00,2023-12-06 23:33:00,1.0000126347,1.0006186031,0.9997780181,1.0000306623,6126970583.12,24249176451.43,24248432938.91
USDC,2023-12-07 23:59:59,2023-12-07 00:00:00,2023-12-07 23:59:59,2023-12-07 16:37:00,2023-12-07 16:12:00,0.9999774595,1.0006074174,0.9997650008,0.9999972861,6488731737.91,24307730182.95,24307796153.08
USDC,2023-12-08 23:59:59,2023-12-08 00:00:00,2023-12-08 23:59:59,2023-12-08 15:52:00,2023-12-08 04:13:00,1.000016896,1.0005569923,0.9998069986,0.9999247134,6282261784.93,24466801435.12,24468643596.74
USDC,2023-12-09 23:59:59,2023-12-09 00:00:00,2023-12-09 23:59:59,2023-12-09 17:10:00,2023-12-09 01:36:00,0.9999185285,1.0006559974,0.9998417797,1.0001946594,4743965791.65,24563129612.47,24558349098.38
USDC,2023-12-10 23:59:59,2023-12-10 00:00:00,2023-12-10 23:59:59,2023-12-10 08:24:00,2023-12-10 23:13:00,1.0000564422,1.0005856314,0.9998305078,1.0000284075,3540530606.38,24549469682.11,24548772312.12
USDC,2023-12-11 23:59:59,2023-12-11 00:00:00,2023-12-11 23:59:59,2023-12-11 02:13:00,2023-12-11 06:42:00,1.0000951047,1.0029671034,0.9996932671,1.0000800348,8980651786.79,24172076965.33,24170142513.7
USDC,2023-12-12 23:59:59,2023-12-12 00:00:00,2023-12-12 23:59:59,2023-12-12 13:33:00,2023-12-12 04:09:00,1.0001542616,1.0009954646,0.9997842273,1.0003047468,6327509555.58,24064021764.49,24056690565.27
USDC,2023-12-13 23:59:59,2023-12-13 00:00:00,2023-12-13 23:59:59,2023-12-13 02:13:00,2023-12-13 07:09:00,1.0002658054,1.0010929342,0.9998085023,1.0000028456,6632941650.25,24215928495.35,24215859587.38
USDC,2023-12-14 23:59:59,2023-12-14 00:00:00,2023-12-14 23:59:59,2023-12-14 14:03:00,2023-12-14 01:52:00,1.0001232205,1.0009925032,0.9998479002,0.9999771378,6352617429.65,24465992851.16,24466552211.34
USDC,2023-12-15 23:59:59,2023-12-15 00:00:00,2023-12-15 23:59:59,2023-12-15 19:26:00,2023-12-15 00:07:00,1.0000489855,1.0008458591,0.9998459581,1.0001699287,5589250637.59,24497142357.39,24492980296.71
USDC,2023-12-16 23:59:59,2023-12-16 00:00:00,2023-12-16 23:59:59,2023-12-16 15:14:00,2023-12-16 23:25:00,1.0001705529,1.000811696,0.9998422195,0.9999729582,3971109126.79,24662719388.88,24663386331.4
USDC,2023-12-17 23:59:59,2023-12-17 00:00:00,2023-12-17 23:59:59,2023-12-17 23:35:00,2023-12-17 03:09:00,0.9998734687,1.0010661807,0.9997742095,1.0005456146,4203857072.52,24622363957.71,24608936962.17
USDC,2023-12-18 23:59:59,2023-12-18 00:00:00,2023-12-18 23:59:59,2023-12-18 02:56:00,2023-12-18 08:10:00,1.0002129538,1.0009482128,0.9998368465,1.0000306935,5768924195.71,24628046912.65,24627291015.35
