stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,first_hit_date,avg_close_price_hit_days,precision,recall,f1_score,specificity
USDC,PC4,13,3,0,2021-11-21,0.9999844186461537,0.0,0.0,,0.9929615592853276
USDC,PC5,8,3,0,2021-07-26,0.9999503417875,0.0,0.0,,0.9956686518678939
USDC,PC6,7,3,0,2021-05-02,0.9999509634857142,0.0,0.0,,0.9962100703844071
USDC,PC7,12,3,0,2021-04-29,0.9999588059666666,0.0,0.0,,0.9935029778018408
USDC,PC8,13,3,0,2021-04-04,1.0002133764692307,0.0,0.0,,0.9929615592853276
USDC,PC9,12,3,0,2021-04-19,1.0000724883916665,0.0,0.0,,0.9935029778018408
USDC,PC10,8,3,0,2021-04-24,1.00012734935,0.0,0.0,,0.9956686518678939
USDT,PC1,18,2,3,2021-04-17,1.000793944322222,0.16666666666666666,0.5,0.25,0.991878722252301
USDT,PC2,11,2,0,2021-08-09,1.0005006851545455,0.0,0.0,,0.9940476190476191
USDT,PC3,15,2,0,2021-04-05,1.0001331638,0.0,0.0,,0.9918831168831169
USDT,PC4,15,2,0,2021-05-19,1.0003226864666668,0.0,0.0,,0.9918831168831169
USDT,PC5,15,2,0,2021-04-24,1.0004243289666666,0.0,0.0,,0.9918831168831169
USDT,PC6,8,2,0,2021-09-19,1.0004474541125,0.0,0.0,,0.9956709956709957
USDT,PC7,15,2,0,2021-12-23,1.0002219776333332,0.0,0.0,,0.9918831168831169
USDT,PC8,9,2,0,2021-03-20,1.0000230493333335,0.0,0.0,,0.9951298701298701
USDT,PC9,11,2,0,2021-03-17,0.999869571609091,0.0,0.0,,0.9940476190476191
USDT,PC10,8,2,0,2021-03-22,1.0004005344125,0.0,0.0,,0.9956709956709957
UST,PC1,15,25,11,2021-05-20,0.9805580182133331,0.7333333333333333,0.24,0.36164383561643837,0.9906759906759907
UST,PC3,28,25,11,2021-04-07,0.9993290992892857,0.39285714285714285,0.32,0.3527054108216433,0.960093896713615
UST,PC2,14,25,7,2021-04-18,0.9939658493071428,0.5,0.32,0.39024390243902435,0.9836829836829837
UST,PC10,25,25,5,2021-02-27,1.000728913668,0.2,0.32,0.24615384615384614,0.9531615925058547
UST,PC9,24,25,3,2021-04-08,1.0014999173583334,0.125,0.04,0.06060606060606061,0.9511627906976744
UST,PC8,19,25,2,2021-04-29,1.0010735702157894,0.10526315789473684,0.08,0.0909090909090909,0.9604651162790697
UST,PC4,20,25,2,2021-04-07,1.0001578354149998,0.1,0.08,0.08888888888888889,0.958139534883721
UST,PC7,23,25,1,2021-04-08,1.0007924898739131,0.043478260869565216,0.24,0.0736196319018405,0.9489559164733179
UST,PC5,24,25,1,2021-03-17,1.0002091426291668,0.041666666666666664,0.04,0.04081632653061224,0.9466357308584686
UST,PC6,24,25,1,2021-04-07,1.0004332417375001,0.041666666666666664,0.04,0.04081632653061224,0.9466357308584686
